task_id,task_name,start_date,end_date,status,progress_pct,predecessors,discipline,equipment_tag
T051,Perimeter Fencing & Bollards,2026-08-21,2026-08-26,on_track,21,T050,Security,
T052,External Lighting Installation,2026-08-22,2026-08-27,on_track,17,T050;T051,Electrical,
T053,Internal Lighting - Data Hall,2026-08-23,2026-08-28,on_track,85,T051;T052,Electrical,
T054,Emergency Lighting & Signage,2026-08-24,2026-08-29,on_track,56,T052;T053,Electrical,
T055,Earthing Grid Installation,2026-08-25,2026-08-30,on_track,59,T054,Electrical,
T056,Lightning Protection System,2026-08-26,2026-08-31,on_track,28,T054;T055,Electrical,
T057,Transformer Delivery,2026-08-27,2026-09-01,on_track,68,T056,Electrical,EQ-TX-01
T058,Transformer Installation,2026-08-28,2026-09-02,on_track,86,T057,Electrical,EQ-TX-01
T059,MV Cable Termination,2026-08-29,2026-09-03,on_track,23,T058,Electrical,
T060,Power Quality Meter Install,2026-08-30,2026-09-04,on_track,68,T058;T059,Electrical,
T061,DG Fuel Tank Installation,2026-08-31,2026-09-05,on_track,71,T060,Mechanical,EQ-GEN-01
T062,Fuel Piping & Day Tank,2026-09-01,2026-09-06,on_track,22,T061,Mechanical,
T063,DG Cooling System Hookup,2026-09-02,2026-09-07,on_track,83,T061;T062,Mechanical,EQ-GEN-01
T064,DG Exhaust Stack Erection,2026-09-03,2026-09-08,at_risk,15,T063,Mechanical,EQ-GEN-01
T065,DG Control Panel Wiring,2026-09-04,2026-09-09,on_track,87,T063;T064,Electrical,EQ-GEN-01
T066,Automatic Mains Failure Test,2026-09-05,2026-09-10,on_track,28,T064;T065,Commissioning,
T067,UPS Input/Output Cable Pull,2026-09-06,2026-09-11,on_track,73,T066,Electrical,EQ-UPS-01
T068,UPS Static Bypass Wiring,2026-09-07,2026-09-12,on_track,26,T067,Electrical,EQ-UPS-01
T069,UPS Battery String Test,2026-09-08,2026-09-13,on_track,45,T067;T068,Commissioning,EQ-BAT-01
T070,Precision Cooling Commissioning,2026-09-09,2026-09-14,on_track,19,T069,Commissioning,EQ-CRAH-01
T071,Airflow Validation (CFD Check),2026-09-10,2026-09-15,on_track,80,T070,Commissioning,
T072,Water Leak Detection Install,2026-09-11,2026-09-16,on_track,37,T070;T071,Controls,
T073,Environmental Monitoring Setup,2026-09-12,2026-09-17,on_track,34,T071;T072,Controls,
T074,Network Cabinet Power-Up,2026-09-13,2026-09-18,on_track,25,T072;T073,IT Infrastructure,
T075,Structured Cabling - Phase 1,2026-09-14,2026-09-19,on_track,73,T073;T074,IT Infrastructure,
T076,Structured Cabling - Phase 2,2026-09-15,2026-09-20,on_track,48,T075,IT Infrastructure,
T077,Fiber Optic Backbone Install,2026-09-16,2026-09-21,on_track,76,T075;T076,IT Infrastructure,
T078,Core Network Switch Install,2026-09-17,2026-09-22,delayed,5,T076;T077,IT Infrastructure,EQ-NET-01
T079,DCIM Software Deployment,2026-09-18,2026-09-23,at_risk,12,T078,Controls,
T080,DCIM Sensor Integration,2026-09-19,2026-09-24,on_track,22,T079,Controls,
T081,Electrical Metering Calibration,2026-09-20,2026-09-25,on_track,83,T079;T080,Commissioning,
T082,Thermal Imaging Baseline,2026-09-21,2026-09-26,on_track,60,T081,Commissioning,
T083,PDU Load Balancing Test,2026-09-22,2026-09-27,on_track,20,T081;T082,Commissioning,EQ-PDU-01
T084,UPS Autonomy Test (15 min),2026-09-23,2026-09-28,on_track,82,T082;T083,Commissioning,EQ-UPS-01
T085,Generator Black Start Test,2026-09-24,2026-09-29,on_track,76,T083;T084,Commissioning,EQ-GEN-01
T086,N+1 Redundancy Failover Test,2026-09-25,2026-09-30,on_track,81,T084;T085,Commissioning,
T087,Cooling Redundancy Test,2026-09-26,2026-10-01,on_track,53,T086,Commissioning,EQ-CH-01
T088,Integrated Systems Test (IST),2026-09-27,2026-10-02,delayed,24,T087,Commissioning,
T089,IST Snagging & Resolution,2026-09-28,2026-10-03,at_risk,66,T088,Commissioning,
T090,Client Witness FAT,2026-09-29,2026-10-04,on_track,84,T088;T089,Commissioning,
T091,As-Built Drawing Updates,2026-09-30,2026-10-05,on_track,46,T090,Documentation,
T092,O&M Manual Compilation,2026-10-01,2026-10-06,on_track,67,T090;T091,Documentation,
T093,Spare Parts Inventory,2026-10-02,2026-10-07,at_risk,15,T092,Logistics,
T094,Training - Electrical Systems,2026-10-03,2026-10-08,on_track,37,T093,Training,
T095,Training - Cooling Systems,2026-10-04,2026-10-09,on_track,17,T093;T094,Training,
T096,Training - Fire & Safety,2026-10-05,2026-10-10,at_risk,19,T094;T095,Training,
T097,Final Cleaning & Detailing,2026-10-06,2026-10-11,on_track,74,T096,Architectural,
T098,Client Pre-Handover Walkthrough,2026-10-07,2026-10-12,on_track,65,T097,Project Management,
T099,Deficiency List Resolution,2026-10-08,2026-10-13,on_track,43,T098,Project Management,
T100,Practical Completion Certificate,2026-10-09,2026-10-14,on_track,74,T099,Project Management,
